index,키워드,키워드_빈도,포함 인물 수,포함 인물
230,선언서,22,18,"박판종(朴判宗), 이동찬(李東贊), 전희로(全希魯), 최영식(崔永植), 김봉빈(金鳳彬), 송인석(宋仁奭), 김승옥(金升玉), 유영환(劉永煥), 임용하(林容夏), 염현두(廉鉉斗)"
231,해주군,22,12,"오성칠(吳聖七), 김병화(金秉華), 김치서(金致瑞), 오사선(吳四善), 이진각(李鎭珏), 염준호(廉俊鎬), 최봉조(崔鳳祚), 곽준명(郭俊明), 최인영(崔仁永), 정성현(鄭聖鉉)"
232,문학,22,14,"궁본한룡(宮本漢龍), 금정부웅(今井富雄), 안풍종한(安豊鍾漢), 금곡영창(金谷永倉), 무촌청진(茂村靑辰), 안전철삼(安田哲三), 금전광성(金田光成), 향촌유환(鄕村侑煥), 암천수광(岩川秀光), 명촌제립(明村濟立)"
233,연설,22,19,"최재훈(崔在勳), 이인영(李寅永), 권담(權澹), 김평원(金平遠), 윤교영(尹敎永), 김종석(金鍾錫), 윤대선(尹大善), 주용길(朱龍吉), 맹태유(孟泰裕), 최영효(崔永孝)"
234,문서,22,14,"이춘봉(李春鳳), 이병관(李炳觀), 권철(權鐵), 이대흥(李大興), 이응모(李應模), 김영찬(金永燦), 장용하(張龍河), 주명득(朱明得), 임양재(任良宰), 김교상(金敎爽)"
235,상원,22,11,"최용원(崔龍源), 금해건호(金海健鎬), 박훈경(朴勳慶), 박성규(朴聖奎), 김하영(金夏榮), 김진영(金振榮), 양태호(梁泰浩), 진희수(秦希洙), 진희봉(秦希鳳), 백명천(白明天)"
236,오후,22,21,"유완진(柳完鎭), 임영신(任永信), 김정하(金貞夏), 김재흥(金在興), 나찬진(羅燦鎭), 이병건(李炳建), 최기물(崔氣物), 황쾌동(黃快童), 최요한라(崔堯漢羅), 서우석(徐禹錫)"
237,만주,22,20,"황일보(黃一甫), 김정환(金正煥), 박재하(朴載廈), 현칠종(玄七鍾), 이주화(李周和), 김규극(金奎極), 김홍계(金洪桂), 정인석(鄭寅晳), 김용복(金龍福), 이주봉(李柱鳳)"
238,협의,22,18,"우전창원(宇田昌源), 김부득(金富○), 김석만(金錫萬), 이인규(李麟珪), 임종근(林鍾根), 박정은(朴正殷), 하동해안(河東海晏), 김병창(金秉昌), 조홍기(趙鴻基), 최흥길(崔興吉)"
239,발송,22,10,"원정상(元正常), 김한종(金漢鍾), 안학수(安學洙), 이언성(李彦成), 김영찬(金永燦), 박성욱(朴性煜), 임세규(林世圭), 조경윤(趙景尹), 박도현(朴道鉉), 청송신남(靑松信男)"
240,지원,22,17,"이용하(李容河), 전상준(全相俊), 평소상권(平沼相權), 진진권(陳振權), 양주성(梁柱星), 김종헌(金鍾憲), 상원천중(上原川重), 덕산희영(德山僖英), 산전영순(山田榮淳), 민창근(閔昌根)"
241,공무,22,12,"최용원(崔龍源), 박훈경(朴勳慶), 박성규(朴聖奎), 박용간(朴龍幹), 류준규(柳俊奎), 김하영(金夏榮), 김진영(金振榮), 양태호(梁泰浩), 진희수(秦希洙), 진희봉(秦希鳳)"
242,위협,22,6,"김한종(金漢鍾), 임세규(林世圭), 유인석(柳寅錫), 정호현(鄭豪鉉), 주덕기(朱德基), 정운화(鄭雲和)"
243,직무,22,11,"장귀남(張貴男), 이만석(李萬錫), 신현성(申鉉成), 이교성(李敎成), 정효섭(丁孝燮), 최기홍(崔基弘), 정성교(鄭聖敎), 정흥룡(鄭興龍), 홍종선(洪鍾先), 최기영(崔基榮)"
244,진압,22,11,"장귀남(張貴男), 이만석(李萬錫), 신현성(申鉉成), 이교성(李敎成), 정효섭(丁孝燮), 최기홍(崔基弘), 정성교(鄭聖敎), 정흥룡(鄭興龍), 홍종선(洪鍾先), 최기영(崔基榮)"
245,결투,22,11,"장귀남(張貴男), 이만석(李萬錫), 신현성(申鉉成), 이교성(李敎成), 정효섭(丁孝燮), 최기홍(崔基弘), 정성교(鄭聖敎), 정흥룡(鄭興龍), 홍종선(洪鍾先), 최기영(崔基榮)"
246,공동,21,16,"김계한(金啓漢), 이용각(李龍珏), 권영대(權寧大), 서순봉(徐淳鳳), 김현일(金顯一), 김명식(金明植), 김영목(金永睦), 장송손(張松孫), 진택룡(陳澤龍), 김영종(金永鍾)"
247,안녕,21,21,"심점봉(沈点奉), 이영직(李泳稙), 이학복(李鶴馥), 최붕학(崔鵬학), 신상흡(申相翕), 김창건(金昌健), 이상로(李祥老), 이흥록(李興錄), 강용상(康龍祥), 신석찬(申錫燦)"
248,선천,21,21,"김상옥(金尙玉), 장일현(張日炫), 이정화(李禎華), 김용수(金龍守), 계시항(桂時恒), 김지웅(金志雄), 이기동(李起東), 김진수(金珍洙), 김수문(金守文), 오택렬(吳宅烈)"
249,행위,21,20,"풍전수홍(豊田修弘), 향원창한(香原昌翰), 고신봉(高信鳳), 궁본권현(宮本權鉉), 조동준(趙東浚), 오영순(吳英淳), 김도원(金道源), 덕포청정(德浦淸正), 이한춘(李漢春), 산본일근(山本一根)"
250,서로,21,20,"김제룡(金濟龍), 최난씨(崔蘭氏), 지사원(池思源), 황호경(黃鎬京), 문상옥(文相玉), 손영희(孫永喜), 소사명(邵思明), 윤철(尹喆), 문성술(文成述), 김성수(金性守)"
251,독립군,21,13,"조기수(趙基洙), 전낙규(全洛奎), 박상규(朴祥奎), 임봉춘(林鳳春), 최익한(崔益翰), 이시곤(李時坤), 현기언(玄基언), 최재홍(崔載弘), 현덕균(玄德均), 금해석(琴海汐)"
252,인쇄,21,12,"이병관(李炳觀), 김명규(金明奎), 박삼도(朴三道), 이요습(李要習), 전경석(全景錫), 유연화(柳淵和), 오은영(吳恩泳), 김교상(金敎爽), 임창수(林昌洙), 김병식(金秉植)"
253,관청,21,9,"이명종(李明鍾), 윤치방(尹致芳), 오기섭(吳基燮), 이학근(李學根), 정찬도(鄭燦道), 노기호(盧起灝), 오인섭(吳仁燮), 김기욱(金基彧), 조명원(趙明元)"
254,인식,21,6,"김명송(金明松), 방동칠(方東七), 장하경(張河經), 서성근(徐成根), 안시웅(安時雄), 김재수(金在水)"
255,명의,21,18,"김영두(金榮斗), 함치각(咸致恪), 김주봉(金周鳳), 이시웅(李時雄), 김병련(金炳鍊), 이세춘(李世春), 김호성(金浩誠), 김용성(金容成), 임광채(林光彩), 최정건(崔貞健)"
256,거부,21,3,"김우한(金禹漢), 김몽룡(金夢龍), 최목형(崔穆亨)"
257,파기,21,3,"김우한(金禹漢), 김몽룡(金夢龍), 최목형(崔穆亨)"
258,야기,21,11,"안동영목(安東寧牧), 이규민(李圭敏), 안낙순(安樂淳), 유진홍(兪鎭弘), 김사철(金四哲), 원병준(元炳埈), 이천봉(李千奉), 신명국(申明國), 김용준(金用俊), 백창길(白昌吉)"
259,시내,21,15,"장남규(張南奎), 김순천(金順天), 김예진(金禮鎭), 황상호(黃尙鎬), 김성민(金聖敏), 류상규(柳尙奎), 김석현(金碩鉉), 김인환(金仁煥), 석동준(石東俊), 임영구(林永九)"
260,지나,21,14,"김술근(金述根), 김희중(金熙重), 김영기(金榮基), 채신묵(蔡信默), 정성룡(鄭聖龍), 김창일(金昌鎰), 이춘구(李春九), 장의묵(張義默), 정성봉(鄭聖鳳), 지산수암(芝山秀巖)"
261,투쟁,21,11,"이경순(李敬純), 한홍익(韓鴻翼), 최남규(崔南奎), 한효삼(韓孝三), 신수복(愼壽福), 이금복(李金福), 차우영수(車又永秀), 유영준(柳榮俊), 최경덕(崔璟德), 최근철(崔根哲)"
262,송부,20,7,"강대려(姜大呂), 김봉빈(金鳳彬), 이명건(李命鍵), 김수길(金壽吉), 금원상권(金原相權), 이영옥(李榮玉), 이수건(李壽鍵)"
263,활동,20,18,"산성능진(山城能珍), 김창숙(金昌淑), 안등명식(安藤明埴), 석산원치(石山元治), 정의식(鄭宜植), 서원승인(西原昇寅), 강연권(姜淵權), 이문호(李文浩), 하야재철(河野在喆), 허재선(許在先)"
264,쟁취,20,20,"최형욱(崔衡郁), 김동식(金東湜), 석인욱(石麟郁), 석인제(石麟濟), 최붕남(崔鵬南), 이희복(李熙馥), 강학병(姜鶴秉), 유제탁(柳帝鐸), 최창악(崔昌岳), 전용락(全龍洛)"
265,탐독,20,18,"여운철(呂運徹), 조동준(趙東浚), 목산항규(牧山恒珪), 금천상준(金川相俊), 목자동화(木子東華), 궁본권현(宮本權鉉), 덕본광의(德本光毅), 김한섭(金漢燮), 송본길평(松本吉平), 이병국(李炳國)"
266,취야리,20,10,"김병화(金秉華), 김치서(金致瑞), 오사선(吳四善), 이진각(李鎭珏), 염준호(廉俊鎬), 최봉조(崔鳳祚), 곽준명(郭俊明), 최인영(崔仁永), 정성현(鄭聖鉉), 길선호(吉先浩)"
267,동민,20,19,"구문일(具文一), 김명출(金明出), 김익하(金益夏), 이화실(李華實), 마갑문(馬甲文), 손기현(孫淇鉉), 유제섭(劉悌燮), 최종수(崔宗壽), 이시종(李時鍾), 허식(許植)"
268,문단,20,12,"궁본한룡(宮本漢龍), 금정부웅(今井富雄), 안풍종한(安豊鍾漢), 금곡영창(金谷永倉), 무촌청진(茂村靑辰), 안전철삼(安田哲三), 금전광성(金田光成), 향촌유환(鄕村侑煥), 암천수광(岩川秀光), 명촌제립(明村濟立)"
269,사창,20,10,"권영희(權寧熺), 박종선(朴宗善), 권오영(權五英), 권기수(權耆洙), 권영봉(權寧鳳), 방진성(方鎭星), 권영구(權寧龜), 이치재(李致才), 김경두(金慶斗), 권오집(權五集)"
270,보고,20,15,"김취곤(金聚坤), 임수근(林水根), 임원성(林元星), 이환기(李煥器), 금본원길(金本元吉), 홍태현(洪泰賢), 박경준(朴景俊), 류원식(柳元植), 김병제(金炳濟), 윤인권(尹仁權)"
271,강요,20,17,"이용헌(李容獻), 조기담(趙紀談), 이헌(李憲), 이병익(李炳翼), 김학봉(金學鳳), 탁은상(卓殷相), 홍봉관(洪鳳官), 김은수(金殷壽), 이용규(李龍奎), 조종협(趙鍾協)"
272,간도,20,13,"오영순(吳英淳), 채신묵(蔡信默), 최교진(崔敎鎭), 전홍섭(全洪燮), 김도흠(金道欽), 이태흥(李泰興), 임태순(林泰淳), 유훈상(柳勳相), 전복신(全福臣), 오환묵(吳環默)"
273,수취,20,16,"정병호(鄭炳鎬), 박판종(朴判宗), 양규섭(梁奎涉), 이만기(李萬基), 서순봉(徐淳鳳), 김현일(金顯一), 김명식(金明植), 김운배(金○培), 신공량(申公良), 김민규(金敏奎)"
274,독립선언,20,13,"김백평(金柏枰), 한삼석(韓三石), 주종의(朱鍾宜), 김영조(金榮○), 주동섭(朱東燮), 한창환(韓昌桓), 이도건(李道健), 김탁원(金鐸遠), 이공후(李公厚), 박윤하(朴潤夏)"
275,반포,19,12,"신석찬(申錫燦), 김응집(金應集), 유석우(庾錫祐), 이천진(李天鎭), 이승필(李承필), 전준희(全俊禧), 신상흡(申相翕), 류면희(柳冕熙), 김세룡(金世龍), 박태언(朴泰彦)"
276,사용,19,15,"최두홍(崔斗洪), 김승한(金承翰), 백천관호(白川寬鎬), 고봉학(高鳳鶴), 목원익(睦源益), 김홍규(金洪奎), 안촌효승(安村孝昇), 윤남석(尹南錫), 고산흠장(高山欽藏), 신화수(申華秀)"
277,도모,19,11,"고영희(高永禧), 이규민(李圭敏), 김사철(金四哲), 이화영(李華永), 원병준(元炳埈), 이천봉(李千奉), 신명국(申明國), 백창길(白昌吉), 김득필(金得弼), 김복동(金福同)"
278,가맹,19,9,"김영기(金寧基), 차성수(車性洙), 장창희(張昌熙), 한진교(韓震敎), 이현수(李賢壽), 남진희(南軫熙), 이언망(李彦網), 곽칠용(郭七用), 김창한(金昌漢)"
279,휴대,19,19,"박상규(朴祥奎), 임봉춘(林鳳春), 박규준(朴奎俊), 권인환(權麟煥), 권괴응(權槐應), 안삼선(安三先), 권순(權淳), 박주동(朴柱東), 이종황(李鍾黃), 이학구(李學逑)"
280,기숙사,19,19,"박규준(朴奎俊), 권인환(權麟煥), 권괴응(權槐應), 안삼선(安三先), 권순(權淳), 김우진(金宇鎭), 정진완(鄭鎭琬), 박주동(朴柱東), 이종황(李鍾黃), 성도환(成道煥)"
281,종교,19,13,"해천홍식(海川洪植), 평산영화(平山永和), 최두홍(崔斗洪), 조순범(趙順範), 남세혁(南世爀), 목원익(睦源益), 금전형뢰(金田炯雷), 김혁중(金赫中), 이가병택(李家炳宅), 매촌명섭(梅村明燮)"
282,일이,19,13,"해천홍식(海川洪植), 평산영화(平山永和), 김충숙(金忠淑), 조순범(趙順範), 박팽봉(朴彭鳳), 송일길(宋日吉), 민영무(閔泳武), 신수산(申壽山), 장동환(張東煥), 금전형뢰(金田炯雷)"
283,계속,19,17,"해천홍식(海川洪植), 김진호(金鎭鎬), 평산영화(平山永和), 김원진(金元鎭), 이인영(李寅永), 한진환(韓眞煥), 조순범(趙順範), 김승룡(金承龍), 김영근(金英根), 송원춘기(松原春基)"
284,문제,19,12,"천천홍(天川弘), 김낙구(金樂九), 이명로(李明魯), 최동석(崔東錫), 최상훈(崔相勳), 무곡무남(武谷茂男), 신정화랑(新井和郞), 최두환(崔斗煥), 박하주(朴夏柱), 길전균우(吉田均雨)"
285,암살,19,4,"조만식(趙晩植), 유연원(柳演元), 이준희(李俊熙), 김교상(金敎爽)"
286,조달,19,16,"이승호(李丞浩), 박종욱(朴宗郁), 김형칠(金衡七), 이종만(李鐘萬), 김영기(金榮基), 전도영(全道榮), 유상묵(柳尙默), 장태원(張泰遠), 문상직(文相直), 오기준(吳琪準)"
287,기초,19,15,"김초돌(金初乭), 류영오(柳泳旿), 한승준(韓承俊), 임판석(林判石), 김윤원(金潤元), 나경산(羅景山), 김동우(金東禹), 김성륜(金聖輪), 김인성(金麟聲), 차종협(車鍾協)"
288,회합,19,14,"김진봉(金鎭奉), 김영기(金寧基), 김진순(金鎭淳), 김종만(金鍾滿), 김형준(金炯埈), 오용간(五用干), 이병의(李丙儀), 이언강(李彦綱), 문은종(文殷鍾), 주촌현칙(朱村賢則)"
289,부동,19,17,"변용이(卞龍伊), 김석근(金石根), 배만조(裵萬祚), 김명강(金命康), 이낙용(李樂用), 김명길(金命吉), 박술이(朴述伊), 윤광어리(尹光於里), 김석이(金昔伊), 최성우(崔成祐)"
290,행동,19,14,"최병칠(崔秉七), 윤병소(尹秉昭), 산전우차량(山田祐次良), 전지석(全智석), 유기종(柳冀宗), 이두춘(李斗春), 임덕문(林德文), 김백순(金伯順), 김영진(金瑛鎭), 김병권(金秉權)"
291,도착,19,18,"이창옥(李昌玉), 양동선(梁東璿), 김성수(金性守), 김응주(金應疇), 이최형(李最衡), 김진오(金鎭五), 박내윤(朴來潤), 정운화(鄭雲和), 박경흥(朴慶興), 유근복(劉根馥)"
292,무죄판결,19,17,"최교진(崔敎鎭), 남희수(南羲壽), 박상보(朴相甫), 양주성(梁柱星), 남학구(南學九), 김종헌(金鍾憲), 민창근(閔昌根), 이태흥(李泰興), 한진만(韓鎭萬), 유진환(柳振桓)"
293,고문,19,11,"서인필(徐仁弼), 김창순(金昌順), 김학봉(金學鳳), 이대흥(李大興), 이요습(李要習), 최중경(崔中庚), 임창수(林昌洙), 이보식(李輔植), 신영호(申鍈浩), 김종현(金宗鉉)"
294,용서,19,9,"한홍익(韓鴻翼), 한효삼(韓孝三), 신수복(愼壽福), 차우영수(車又永秀), 이금복(李金福), 유영준(柳榮俊), 최경덕(崔璟德), 최근철(崔根哲), 김희경(金喜庚)"
295,조선공,19,9,"한홍익(韓鴻翼), 한효삼(韓孝三), 신수복(愼壽福), 차우영수(車又永秀), 이금복(李金福), 유영준(柳榮俊), 최경덕(崔璟德), 최근철(崔根哲), 김희경(金喜庚)"
296,위군,18,9,"안성호(安聖鎬), 양재순(梁載淳), 강연(姜沇), 김관회(金寬會), 김현경(金賢敬), 류준석(柳俊錫), 현언동(玄彦東), 윤봉균(尹鳳均), 김수철(金洙喆)"
297,포교,18,18,"해천홍식(海川洪植), 차원익(車元翼), 정용근(鄭龍根), 강영필(姜永弼), 김지협(金知協), 안장손(安長孫), 조순범(趙順範), 평산영화(平山永和), 박경조(朴景祚), 이구락(李龜洛)"
298,상고,18,14,"장선봉(張仙鳳), 이석명(李錫明), 강응렬(姜應烈), 장규황(張奎○), 최미형(崔미亨), 변정룡(邊珽龍), 여화섭(呂華燮), 김낙승(金洛昇), 김윤하(金允河), 최성득(崔聖得)"
299,의견,18,18,"박경룡(朴京龍), 전중기성(田中起成), 안교헌(安敎憲), 강필구(姜弼求), 차봉남(車鳳南), 서벽환(徐壁煥), 김인권(金仁權), 김천권(金天權), 원찬숙(元贊淑), 송강헌중(松岡憲重)"
300,국내,18,18,"최형욱(崔衡郁), 이동호(李東湖), 김동식(金東湜), 석인욱(石麟郁), 석인제(石麟濟), 임정발(林正發), 김인서(金麟瑞), 최창악(崔昌岳), 최붕남(崔鵬南), 이무달(李務達)"
301,군사,18,10,"김창숙(金昌淑), 목자동화(木子東華), 상원천중(上原川重), 산전종유(山田鍾有), 산전영순(山田榮淳), 산본명근(山本命根), 이기영(李基榮), 안전병기(安田炳耆), 대산인효(大山仁孝), 고목승(高木昇)"
302,유포,18,14,"차원익(車元翼), 진석린(陳錫麟), 이촌상덕(伊村商德), 김제(金濟), 안장손(安長孫), 금릉수웅(金陵秀雄), 박경조(朴景祚), 유형구(柳亨九), 광전정남(光田政男), 안전병기(安田炳耆)"
303,김일성,18,12,"신정인종(新井仁鍾), 금촌용규(金村容圭), 중천준석(中川濬晳), 송본헌식(松本憲植), 송원일수(松原一秀), 이시중(李時重), 산강용범(山岡龍範), 홍원종철(洪原鍾哲), 송강성문(松岡聖文), 금해길준(金海吉俊)"
304,가마,18,18,"유상규(柳尙奎), 장남규(張南奎), 고연홍(高蓮紅), 윤혈녀(尹血女), 김성민(金聖敏), 김양순(金良順), 김석현(金碩鉉), 홍순남(洪順男), 최경애(崔敬愛), 정몽석(丁奉錫)"
305,살포,18,14,"고영규(高營奎), 김규응(金圭鷹), 김봉기(金奉琪), 이재연(李載淵), 최중경(崔中庚), 이삼희(李三喜), 류봉기(柳奉基), 이창업(李昌業), 서석규(徐錫圭), 류두엽(柳斗燁)"
306,하나,18,16,"김석진(金錫振), 윤자학(尹滋學), 박찬성(朴燦星), 최교진(崔敎鎭), 남희수(南羲壽), 황학선(黃鶴善), 남학구(南學九), 한규원(韓圭源), 이태흥(李泰興), 암본용현(岩本勇賢)"
307,생각,18,13,"이석명(李錫明), 김충숙(金忠淑), 박팽봉(朴彭鳳), 유원남(兪元男), 민영무(閔泳武), 신수산(申壽山), 파산경상(巴山景祥), 최재륜(崔在崙), 이한성(李漢聖), 류종구(柳宗九)"
308,대한,18,15,"주종의(朱鍾宜), 이남석(李南石), 인시봉(印時鳳), 덕산실(德山實), 이공후(李公厚), 최영효(崔永孝), 이구덕(李九德), 유남식(劉南植), 임덕문(林德文), 이인섭(李璘燮)"
309,로써,18,13,"평소상선(平沼相瑄), 송환순(宋煥淳), 안영근(安永根), 유상묵(柳尙默), 장태원(張泰遠), 용본춘영(龍本春榮), 문상직(文相直), 윤탁진(尹鐸振), 김용원(金容元), 박제영(朴濟英)"
310,보통학교,18,15,"김관하(金寬河), 이동욱(李東昱), 조영근(曺永根), 박만영(朴萬寧), 정학순(鄭學順), 노수천(魯壽天), 김진기(金鎭淇), 김민규(金敏奎), 신순근(申順根), 이광천(李光天)"
311,선두,18,16,"김원벽(金元壁), 최복석(崔復錫), 홍병복(洪秉福), 김업성(金業成), 윤병소(尹秉昭), 차언복(車彦福), 김대성(金大成), 이태학(金永瑞), 윤영규(尹寧圭), 박홍천(朴洪天)"
312,송산면,18,6,"홍준옥(洪埈玉), 임팔용(林八龍), 김명제(金命濟), 민용운(閔龍雲), 박춘흥(朴春興), 홍면(洪冕)"
313,일경,18,6,"홍준옥(洪埈玉), 임팔용(林八龍), 김명제(金命濟), 민용운(閔龍雲), 박춘흥(朴春興), 홍면(洪冕)"
314,요지,18,9,"한남수(韓南洙), 유태응(劉泰應), 이춘균(李春均), 최상덕(崔上德), 한창환(韓昌桓), 김사국(金思國), 전옥결(全玉결), 안상덕(安商德), 윤이병(尹履炳)"
315,행정명령,18,9,"한남수(韓南洙), 유태응(劉泰應), 이춘균(李春均), 최상덕(崔上德), 한창환(韓昌桓), 김사국(金思國), 전옥결(全玉결), 안상덕(安商德), 윤이병(尹履炳)"
316,문헌,18,9,"한남수(韓南洙), 유태응(劉泰應), 이춘균(李春均), 최상덕(崔上德), 한창환(韓昌桓), 김사국(金思國), 전옥결(全玉결), 안상덕(安商德), 윤이병(尹履炳)"
317,장안,18,6,"김황운(金黃雲), 김현묵(金賢默), 정서성(鄭瑞聖), 이영쇠(李永釗), 장제덕(張濟悳), 김여근(金汝根)"
318,점거,18,6,"김황운(金黃雲), 김현묵(金賢默), 정서성(鄭瑞聖), 이영쇠(李永釗), 장제덕(張濟悳), 김여근(金汝根)"
319,선전,18,9,"이상윤(李相潤), 정효룡(鄭孝龍), 김현모(金睍模), 최풍렬(崔豊烈), 한영윤(韓永允), 이갑섭(李甲燮), 김태순(金兌淳), 한태련(韓泰連), 손규철(孫奎哲)"
320,소요,18,9,"이채연(李采然), 안교은(安敎殷), 차용복(車用輻), 한계성(韓繼聖), 우인수(禹寅洙), 남정민(南廷敏), 김필봉(金弼鳳), 채규희(蔡奎熙), 이종욱(李宗郁)"
321,강탈,17,7,"오환묵(吳環默), 권충락(權忠洛), 강극모(姜克模), 유택수(柳澤秀), 허윤섭(許允燮), 박노동(朴魯東), 강기진(姜基珍)"
322,기와,17,11,"전진극(全鎭極), 유점선(劉点善), 이양직(李亮稙), 강성원(姜聖源), 장명식(張明植), 김윤덕(金潤德), 윤영호(尹永浩), 서상철(徐相喆), 양석룡(梁錫龍), 오충달(吳忠達)"
323,폭탄,17,12,"강원영민(江原永敏), 이언성(李彦成), 김상순(金尙順), 문상직(文相直), 파산경상(巴山景祥), 김상혁(金相赫), 고산흠장(高山欽藏), 윤기현(尹基鉉), 황옥(黃鈺), 상산병하(常山炳夏)"
324,군산,17,9,"이진규(李眞圭), 이도준(李道俊), 양기철(梁基哲), 강전병진(姜田炳辰), 임병률(林秉律), 이두열(李斗悅), 김준실(金俊實), 김영후(金永厚), 전세종(田世鍾)"
325,기재,17,11,"홍인표(洪仁杓), 국본충의(國本忠義), 송일길(宋日吉), 공흥문(孔興文), 김만유(金萬有), 박경흥(朴慶興), 김호준(金鎬俊), 양재순(梁在順), 이재록(李在祿), 윤인중(尹寅重)"
326,조선총독,17,12,"익전정구(益田廷球), 금전수평(金田守平), 동천광진(東川光辰), 차상진(車相晋), 유돌기(柳乭基), 오태영(吳泰泳), 심응주(沈應宙), 김만남(金萬南), 지산수암(芝山秀巖), 백낙주(白樂柱)"
327,입교,17,16,"최선기(崔善基), 박경래(朴京來), 평산영화(平山永和), 박양근(朴亮根), 송영섭(宋寧燮), 유근성(柳根成), 전봉진(全鳳進), 조순범(趙順範), 해천홍식(海川洪植), 안용익(安鎔翼)"
328,첨부,17,16,"오용진(吳龍辰), 유인경(柳寅景), 김경렬(金璟烈), 박나영(朴羅英), 김치수(金致壽), 김영운(金泳運), 임두췌(林斗膵), 송재옥(宋在玉), 이백룡(李白龍), 황성진(黃成진)"
329,동면,17,10,"김성련(金成鍊), 허영준(許英俊), 김익련(金益鍊), 류선태(柳先泰), 허을(許○), 이열성(李烈性), 이학순(李鶴순), 이학년(李鶴年), 김달순(金達淳), 안용순(安龍淳)"
330,원조,17,9,"이필화(李苾和), 남상정(南相禎), 김병우(金炳祐), 성본현서(城本賢書), 삼본준호(三本濬鎬), 최일만(崔壹萬), 김동목(金東穆), 행산원흥(幸山源興), 조기홍(趙琪洪)"
331,저술,17,8,"박학송(朴鶴松), 전형균(全衡均), 정기환(鄭箕桓), 서학준(徐學俊), 박봉순(朴奉順), 최석순(崔錫筍), 전창록(全昌錄), 김백용(金百用)"
332,민가,17,9,"박필주(朴弼周), 김효준(金孝俊), 김창순(金昌順), 서인필(徐仁弼), 김응관(金應寬), 유인석(柳寅錫), 한일수(韓一洙), 김선복(金善福), 김석로(金錫魯)"
333,북면,17,10,"장귀남(張貴男), 김영록(金榮祿), 이만석(李萬錫), 최기홍(崔基弘), 정성교(鄭聖敎), 장호형(張浩享), 정흥룡(鄭興龍), 박성백(朴成伯), 유동환(柳東煥), 이도봉(李道奉)"
334,출장소,17,12,"박재엽(朴在曄), 이동홍(李東洪), 조원룡(趙元龍), 김제원(金濟元), 문덕상(文德相), 박홍빈(朴弘彬), 문무상(文武祥), 이종봉(李宗鳳), 신근수(申根秀), 염우익(廉愚益)"
335,지시,17,10,"위치곤(韋致坤), 나성호(羅聖鎬), 한동욱(韓東郁), 이재하(李載夏), 최필주(崔弼柱), 장명준(張命俊), 심재덕(沈在德), 김준수(金駿秀), 김희균(金熙均), 정희용(鄭熙鎔)"
336,참례,17,9,"채애요라(蔡愛堯羅), 송득한(宋得한), 안영극(安英極), 홍원섭(洪轅燮), 김찬흥(金燦興), 서기풍(徐基풍), 이영순(李泳舜), 장도성(張道成), 이경석(李璟錫)"
337,남산,17,9,"채애요라(蔡愛堯羅), 송득한(宋得한), 안영극(安英極), 홍원섭(洪轅燮), 김찬흥(金燦興), 서기풍(徐基풍), 송종대(宋鍾大), 이영순(李泳舜), 장도성(張道成)"
338,국체,17,14,"황하룡(黃河龍), 대산주상(大山胄相), 임양려(林良麗), 진종완(陳宗琓), 풍전수홍(豊田修弘), 유천태진(柳川太璡), 방산용모(方山容模), 화산영주(華山永周), 산본병희(山本秉喜), 이우성(李愚誠)"
339,소비에트,17,7,"박원지(朴源志), 김환기(金桓璂), 차태준(車泰俊), 김호배(金琥培), 하상대(河相大), 조삼수(趙三壽), 송기호(宋畿鎬)"
340,각각,16,14,"길한동(吉漢東), 박호군(朴好君), 심상욱(沈相昱), 이한용(李漢容), 김응집(金應集), 이병철(李秉澈), 이약한(李約翰), 최석(崔錫), 이동안(李同安), 한인백(韓寅伯)"
341,애국,16,12,"박재수(朴在洙), 박충권(朴忠權), 정석룡(鄭錫龍), 평송수일(平松洙鎰), 길포의풍(吉浦義豊), 윤남석(尹南錫), 정희동(鄭喜童), 경산점순(慶山点順), 마춘성(馬春成), 산본기종(山本基鍾)"
342,횡행,16,16,"김동현(金東炫), 안종화(安鍾和), 남흥성(南興成), 조보근(趙補根), 김정식(金貞植), 김정의(金正義), 김흔(金昕), 한종석(韓宗錫), 박종림(朴宗林), 심적룡(沈赤龍)"
343,검거,16,9,"고제몽(高濟夢), 문학연(文學淵), 김한영(金翰永), 구연준(具然濬), 최상을(崔詳을), 김영희(金永禧), 조봉암(曹奉岩), 김용대(金容大), 전진현(全軫鉉)"
344,전달,16,14,"김봉림(金鳳林), 안정업(安定業), 위치곤(韋致坤), 고창국(高昌國), 한명길(韓明吉), 고탁순(高鐸淳), 고진수(高鎭洙), 고한국(高翰國), 임용하(林容夏), 권명주(權明周)"
345,안동,16,15,"김원진(金元鎭), 박항택(朴恒澤), 이남하(李南夏), 이필(李필), 이두춘(李斗春), 이점백(李點伯), 권익환(權益煥), 김종진(金鍾鎭), 권중택(權重澤), 김익근(金益根)"
346,독립시,16,13,"박운업(朴雲業), 노동산(盧東山), 안종익(安鍾翊), 옥천홍섭(玉川弘燮), 이가규헌(李家圭憲), 박창실(朴昌實), 박성욱(朴性煜), 방달홍(方達泓), 중천원조(中川原助), 주본정부(朱本正夫)"
347,귀가,16,9,"이일하(李日河), 권담(權澹), 유병관(劉秉寬), 이교필(李敎필), 조정상(趙丁象), 민광식(閔光植), 최성득(崔聖得), 추성렬(秋成烈), 김정삼(金鼎三)"
