index,키워드,키워드_빈도,포함 인물 수,포함 인물
48,목적,79,65,"김완석(金完錫), 장병규(張秉奎), 임낙호(任洛鎬), 전석원(田錫元), 홍순관(洪淳寬), 김사철(金四哲), 최석(崔錫), 최순근(崔順根), 강흥근(姜興根), 배동석(裵東石)"
49,손병희,76,60,"김완석(金完錫), 장병규(張秉奎), 조경화(趙敬化), 전석원(田錫元), 천학서(千學書), 김계식(金界植), 유장호(柳章浩), 유점동(柳点同), 김화용(金化鏞), 최순근(崔順根)"
50,면사무소,76,28,"김연택(金然澤), 김일곤(金日坤), 이인환(李仁煥), 이성구(李聲九), 김관룡(金寬龍), 민윤식(閔胤植), 김여근(金汝根), 박경득(朴擎得), 이재성(李在成), 김현묵(金賢默)"
51,가입,76,42,"산성능진(山城能珍), 전형균(全衡均), 이봉남(李鳳南), 김기연(金璣淵), 서원승인(西原昇寅), 서학준(徐學俊), 이태근(李泰覲), 정석룡(鄭錫龍), 박봉순(朴奉順), 최운송(崔雲松)"
52,편항,76,16,"박진선(朴晋先), 박용식(朴龍植), 유춘흠(柳春欽), 김영창(金永唱), 박철옹(朴喆雍), 유의호(柳宜鎬), 유동수(柳東洙), 김응성(金應星), 유치득(柳致得), 유동창(柳東暢)"
53,순사,76,18,"장선봉(張仙鳳), 박진선(朴晋先), 장규황(張奎○), 이찬수(李贊守), 박용식(朴龍植), 유춘흠(柳春欽), 김영창(金永唱), 박철옹(朴喆雍), 유동수(柳東洙), 김응성(金應星)"
54,부인,75,66,"김기두(金琪斗), 최육득(崔六得), 이대수(李大壽), 서삼식(徐三植), 이남의(李南儀), 길재철(吉在哲), 강학병(姜鶴秉), 김완근(金完根), 황장근(黃長根), 상원맥(桑原驀)"
55,불온,74,52,"조경화(趙敬化), 김원진(金元鎭), 이인영(李寅永), 김기수(金基洙), 전도영(全道榮), 김계식(金界植), 유장호(柳章浩), 이봉순(李鳳舜), 유복렬(柳復烈), 주명득(朱明得)"
56,명과,72,61,"이봉삼(李逢三), 유천식(兪天植), 권대완(權大完), 정봉수(鄭奉水), 김익하(金益夏), 마갑문(馬甲文), 김영종(金永鍾), 원형국(元亨國), 김원초(金元初), 김윤구(金崙求)"
57,취지,72,46,"노순석(魯順錫), 주동률(朱東律), 이형률(李亨律), 조영섭(曹永涉), 김화용(金化鏞), 김창현(金昌玄), 정흥룡(鄭興龍), 한병표(韓炳豹), 이규몽(李圭蒙), 김상훈(金相訓)"
58,이희,72,8,"소흥복(蘇興福), 김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 이병구(李丙求), 오복영(吳福永), 최병택(崔秉宅), 오윤선(吳允善)"
59,이유석,72,8,"소흥복(蘇興福), 김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 이병구(李丙求), 오복영(吳福永), 최병택(崔秉宅), 오윤선(吳允善)"
60,원곡면,72,8,"소흥복(蘇興福), 김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 이병구(李丙求), 오복영(吳福永), 최병택(崔秉宅), 오윤선(吳允善)"
